"timestamp" "bugsigdb_signatures_genus_metaphlan_exact.gmt" "bugsigdb_signatures_genus_metaphlan.gmt" "bugsigdb_signatures_genus_ncbi_exact.gmt" "bugsigdb_signatures_genus_ncbi.gmt" "bugsigdb_signatures_genus_taxname_exact.gmt" "bugsigdb_signatures_genus_taxname.gmt" "bugsigdb_signatures_mixed_metaphlan.gmt" "bugsigdb_signatures_mixed_ncbi.gmt" "bugsigdb_signatures_mixed_taxname.gmt" "bugsigdb_signatures_species_metaphlan_exact.gmt" "bugsigdb_signatures_species_metaphlan.gmt" "bugsigdb_signatures_species_ncbi_exact.gmt" "bugsigdb_signatures_species_ncbi.gmt" "bugsigdb_signatures_species_taxname_exact.gmt" "bugsigdb_signatures_species_taxname.gmt" "exp.csv" "full_dump.csv" "sig.csv" "stud.csv"
"2026-06-26_00:21_UTC" 9273 9280 9273 9280 9273 9280 13379 13379 13379 6061 6061 6061 6061 6061 6061 8850 14932 14133 2246
"2026-06-26_01:38_UTC" 9273 9280 9273 9280 9273 9280 13379 13379 13379 6061 6061 6061 6061 6061 6061 8850 14932 14133 2246
"2026-06-26_02:55_UTC" 9273 9280 9273 9280 9273 9280 13379 13379 13379 6061 6061 6061 6061 6061 6061 8850 14932 14133 2246
"2026-06-26_04:28_UTC" 9273 9280 9273 9280 9273 9280 13379 13379 13379 6061 6061 6061 6061 6061 6061 8850 14932 14133 2246
"2026-06-26_06:19_UTC" 9273 9280 9273 9280 9273 9280 13379 13379 13379 6061 6061 6061 6061 6061 6061 8850 14932 14133 2246
"2026-06-26_08:08_UTC" 9273 9280 9273 9280 9273 9280 13379 13379 13379 6061 6061 6061 6061 6061 6061 8850 14932 14133 2246
"2026-06-26_10:01_UTC" 9273 9280 9273 9280 9273 9280 13379 13379 13379 6061 6061 6061 6061 6061 6061 8850 14932 14133 2246
"2026-06-26_11:49_UTC" 9274 9281 9274 9281 9274 9281 13380 13380 13380 6062 6062 6062 6062 6062 6062 8850 14933 14140 2246
"2026-06-26_12:33_UTC" 9276 9283 9276 9283 9276 9283 13380 13380 13380 6060 6060 6060 6060 6060 6060 8850 14933 14143 2246
"2026-06-26_13:35_UTC" 9276 9283 9276 9283 9276 9283 13380 13380 13380 6060 6060 6060 6060 6060 6060 8850 14933 14144 2246
"2026-06-26_14:47_UTC" 9276 9283 9276 9283 9276 9283 13380 13380 13380 6060 6060 6060 6060 6060 6060 8850 14933 14146 2246
"2026-06-26_15:39_UTC" 9276 9283 9276 9283 9276 9283 13380 13380 13380 6060 6060 6060 6060 6060 6060 8850 14933 14146 2246
"2026-06-26_16:34_UTC" 9284 9291 9284 9291 9284 9291 13391 13391 13391 6066 6066 6066 6066 6066 6066 8859 14947 14147 2246
"2026-06-26_17:27_UTC" 9284 9291 9284 9291 9284 9291 13391 13391 13391 6066 6066 6066 6066 6066 6066 8859 14947 14148 2246
"2026-06-26_18:25_UTC" 9284 9291 9284 9291 9284 9291 13390 13390 13390 6065 6065 6065 6065 6065 6065 8859 14946 14147 2246
"2026-06-26_19:27_UTC" 9284 9291 9284 9291 9284 9291 13390 13390 13390 6065 6065 6065 6065 6065 6065 8859 14946 14147 2246
"2026-06-26_20:26_UTC" 9287 9294 9287 9294 9287 9294 13393 13393 13393 6066 6066 6066 6066 6066 6066 8860 14949 14149 2246
"2026-06-26_21:23_UTC" 9287 9294 9287 9294 9287 9294 13393 13393 13393 6067 6067 6067 6067 6067 6067 8861 14950 14149 2246
"2026-06-26_22:21_UTC" 9289 9296 9289 9296 9289 9296 13395 13395 13395 6066 6066 6066 6066 6066 6066 8862 14952 14151 2246
"2026-06-26_23:20_UTC" 9291 9298 9291 9298 9291 9298 13397 13397 13397 6066 6066 6066 6066 6066 6066 8862 14954 14153 2246
"2026-06-27_00:19_UTC" 9291 9298 9291 9298 9291 9298 13397 13397 13397 6066 6066 6066 6066 6066 6066 8862 14954 14153 2246
"2026-06-27_01:33_UTC" 9291 9298 9291 9298 9291 9298 13397 13397 13397 6066 6066 6066 6066 6066 6066 8862 14954 14153 2246
"2026-06-27_02:55_UTC" 9291 9298 9291 9298 9291 9298 13397 13397 13397 6066 6066 6066 6066 6066 6066 8862 14954 14153 2246
"2026-06-27_04:20_UTC" 9291 9298 9291 9298 9291 9298 13397 13397 13397 6066 6066 6066 6066 6066 6066 8862 14954 14153 2246
"2026-06-27_06:08_UTC" 9291 9298 9291 9298 9291 9298 13397 13397 13397 6066 6066 6066 6066 6066 6066 8862 14954 14153 2247
"2026-06-27_07:53_UTC" 9294 9301 9294 9301 9294 9301 13400 13400 13400 6067 6067 6067 6067 6067 6067 8878 14978 14156 2247
"2026-06-27_08:50_UTC" 9294 9301 9294 9301 9294 9301 13401 13401 13401 6068 6068 6068 6068 6068 6068 8878 14986 14157 2247
"2026-06-27_09:38_UTC" 9294 9301 9294 9301 9294 9301 13401 13401 13401 6068 6068 6068 6068 6068 6068 8878 14986 14157 2247
"2026-06-27_10:35_UTC" 9294 9301 9294 9301 9294 9301 13401 13401 13401 6069 6069 6069 6069 6069 6069 8878 14986 14157 2247
"2026-06-27_11:25_UTC" 9294 9301 9294 9301 9294 9301 13401 13401 13401 6070 6070 6070 6070 6070 6070 8878 14986 14157 2247
"2026-06-27_12:18_UTC" 9294 9301 9294 9301 9294 9301 13401 13401 13401 6070 6070 6070 6070 6070 6070 8878 14986 14157 2247
"2026-06-27_13:25_UTC" 9294 9301 9294 9301 9294 9301 13401 13401 13401 6070 6070 6070 6070 6070 6070 8878 14986 14157 2247
"2026-06-27_14:25_UTC" 9294 9301 9294 9301 9294 9301 13401 13401 13401 6070 6070 6070 6070 6070 6070 8878 14986 14157 2247
"2026-06-27_15:22_UTC" 9296 9303 9296 9303 9296 9303 13403 13403 13403 6071 6071 6071 6071 6071 6071 8880 14989 14159 2247
"2026-06-27_16:19_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6070 6070 6070 6070 6070 6070 8880 14990 14161 2247
"2026-06-27_17:21_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6070 6070 6070 6070 6070 6070 8880 14990 14161 2247
"2026-06-27_18:17_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6070 6070 6070 6070 6070 6070 8880 14990 14161 2247
"2026-06-27_19:24_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6070 6070 6070 6070 6070 6070 8880 14990 14161 2247
"2026-06-27_20:19_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6070 6070 6070 6070 6070 6070 8880 14990 14161 2247
"2026-06-27_21:18_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6070 6070 6070 6070 6070 6070 8880 14990 14161 2247
"2026-06-27_22:16_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6070 6070 6070 6070 6070 6070 8880 14990 14161 2247
"2026-06-27_23:17_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6070 6070 6070 6070 6070 6070 8880 14990 14161 2247
"2026-06-28_00:16_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6070 6070 6070 6070 6070 6070 8880 14990 14161 2247
"2026-06-28_01:36_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6070 6070 6070 6070 6070 6070 8880 14990 14161 2247
"2026-06-28_02:55_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6070 6070 6070 6070 6070 6070 8880 14990 14161 2247
"2026-06-28_04:30_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6070 6070 6070 6070 6070 6070 8880 14990 14161 2247
"2026-06-28_06:23_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6071 6071 6071 6071 6071 6071 8880 14990 14161 2247
"2026-06-28_08:04_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6071 6071 6071 6071 6071 6071 8880 14990 14161 2247
"2026-06-28_09:55_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6071 6071 6071 6071 6071 6071 8880 14990 14161 2247
"2026-06-28_10:44_UTC" 9298 9305 9298 9305 9298 9305 13405 13405 13405 6071 6071 6071 6071 6071 6071 8881 14990 14161 2247
"2026-06-28_11:28_UTC" 9303 9310 9303 9310 9303 9310 13410 13410 13410 6073 6073 6073 6073 6073 6073 8883 14995 14166 2247
"2026-06-28_12:20_UTC" 9303 9310 9303 9310 9303 9310 13411 13411 13411 6074 6074 6074 6074 6074 6074 8886 14998 14168 2247
"2026-06-28_13:25_UTC" 9303 9310 9303 9310 9303 9310 13412 13412 13412 6075 6075 6075 6075 6075 6075 8887 14999 14170 2247
"2026-06-28_14:28_UTC" 9303 9310 9303 9310 9303 9310 13414 13414 13414 6077 6077 6077 6077 6077 6077 8887 15001 14172 2247
"2026-06-28_15:23_UTC" 9303 9310 9303 9310 9303 9310 13414 13414 13414 6077 6077 6077 6077 6077 6077 8887 15001 14172 2247
"2026-06-28_16:21_UTC" 9303 9310 9303 9310 9303 9310 13414 13414 13414 6079 6079 6079 6079 6079 6079 8887 15001 14172 2248
"2026-06-28_17:22_UTC" 9302 9309 9302 9309 9302 9309 13413 13413 13413 6079 6079 6079 6079 6079 6079 8887 15000 14171 2248
"2026-06-28_19:24_UTC" 9310 9317 9310 9317 9310 9317 13421 13421 13421 6081 6081 6081 6081 6081 6081 8892 15010 14181 2248
"2026-06-28_20:21_UTC" 9310 9317 9310 9317 9310 9317 13421 13421 13421 6081 6081 6081 6081 6081 6081 8892 15010 14181 2248
